"","STFIPS","ADMYR","AdmAlc","AdmCoc","AdmMar","AdmHer","AdmOpi","AdmBen","AdmNMJ"
"1",1,2005,5866,4323,5476,183,1472,204,14326
"2",1,2006,6011,4529,5642,69,1491,201,14249
"3",1,2008,5211,2348,4199,109,1349,190,10860
"4",1,2009,7539,3134,6155,196,2012,274,15447
"5",2,2006,1203,76,256,20,90,0,1684
"6",2,2007,2897,171,390,65,121,0,3642
"7",2,2008,4221,197,500,125,169,7,5077
"8",2,2009,4472,160,528,236,312,6,5583
"9",4,2005,6217,1491,2106,1273,157,31,28516
"10",4,2006,5766,1470,2047,1079,271,57,24894
"11",4,2007,4863,1434,1987,1174,357,35,19168
"12",4,2008,6177,1505,2164,1583,495,47,18806
"13",4,2009,6276,842,2184,1818,720,57,17032
"14",5,2005,4299,2111,2609,25,739,99,11085
"15",5,2006,4657,2171,2595,40,761,144,11040
"16",5,2007,5845,1880,2868,41,1195,179,12137
"17",5,2008,11318,3277,5584,104,2835,382,22928
"18",5,2009,10113,2145,4586,86,2652,293,20017
"19",6,2005,32455,18422,25701,29473,3055,199,152984
"20",6,2006,38431,19647,28236,30262,4750,206,166031
"21",6,2007,40541,19010,31226,29567,5956,187,166443
"22",6,2008,44570,19501,34084,30442,7159,275,164034
"23",6,2009,41690,14690,32911,28570,7948,303,144452
"24",8,2005,57236,4154,5820,1752,844,151,71074
"25",8,2006,58108,4787,5981,1786,1022,174,72475
"26",8,2007,58784,4652,6469,1661,1197,187,72936
"27",8,2008,64961,4445,6879,1851,1552,198,78958
"28",8,2009,67496,3640,7187,2255,1904,214,81097
"29",9,2005,14711,5942,3426,17175,1640,155,43690
"30",9,2006,14806,6263,3877,16518,1655,177,42574
"31",9,2007,15415,5836,4234,15528,1961,178,40523
"32",9,2008,17093,5637,4905,15544,2289,204,42270
"33",9,2009,16978,4664,5754,14579,2367,347,40313
"34",10,2005,2122,1389,1953,2106,306,19,6240
"35",10,2006,1975,1360,1808,2043,561,23,6358
"36",10,2007,2232,1278,1716,2038,798,25,6705
"37",10,2008,1959,999,1591,1881,1069,20,6339
"38",10,2009,1925,666,1807,1666,1377,31,5983
"39",11,2007,37,41,3,38,0,0,1929
"40",11,2008,726,501,73,483,2,0,4464
"41",12,2005,13483,11341,13823,1515,2345,444,33511
"42",12,2006,13823,12045,14211,1869,3404,537,36326
"43",12,2007,15033,11757,15207,1413,4065,639,37456
"44",12,2008,23434,14951,24809,2021,8302,1096,56175
"45",12,2009,22556,11628,24955,1783,12495,1213,55281
"46",13,2005,15815,11278,6912,660,1874,503,37945
"47",13,2006,15937,10781,7085,800,1785,482,37848
"48",13,2007,17087,8855,7658,569,1345,565,34642
"49",13,2008,16982,7631,7972,538,1574,615,32512
"50",13,2009,17972,6338,8845,583,2080,734,33206
"51",15,2005,1964,222,1564,161,143,10,5209
"52",15,2006,2014,302,1616,160,123,3,4881
"53",15,2007,2341,244,1776,147,159,2,5188
"54",15,2008,2816,244,1941,144,188,9,5433
"55",15,2009,2572,221,2001,131,204,17,5275
"56",16,2005,2359,66,1278,50,122,12,5074
"57",16,2006,2878,101,1701,84,227,14,6254
"58",16,2007,1826,101,1282,125,194,4,4969
"59",16,2008,2428,104,1880,96,265,8,4633
"60",16,2009,2900,99,1902,162,345,19,5313
"61",17,2005,25886,15818,19748,12521,874,162,58792
"62",17,2006,26834,15780,18584,19280,1392,169,66546
"63",17,2007,22727,13911,14421,16822,1377,153,56637
"64",17,2008,24090,12351,16207,19640,1608,176,60211
"65",17,2009,23276,10188,15392,19496,1656,217,56131
"66",18,2005,17825,4577,8995,936,1708,351,29045
"67",18,2006,18209,4887,9496,932,2102,390,30113
"68",18,2007,16832,4201,8437,787,2214,446,27344
"69",18,2008,16113,3152,8390,1123,2588,399,26519
"70",18,2009,14031,2308,6992,1340,2316,394,24005
"71",19,2005,13110,1877,6714,186,406,53,21690
"72",19,2006,13647,2195,7110,186,485,51,21343
"73",19,2007,13848,1864,6808,175,480,64,20117
"74",19,2008,14415,1524,6572,177,607,63,19689
"75",19,2009,16476,1176,8069,233,1016,139,22683
"76",20,2005,6496,2476,4126,81,248,38,11670
"77",20,2006,5223,2216,3520,80,234,23,9518
"78",20,2007,6116,2341,3982,88,329,43,11050
"79",20,2008,7414,2123,4474,116,566,64,12315
"80",20,2009,8489,1799,5509,154,816,96,13617
"81",21,2005,9437,3888,4247,458,1871,473,18452
"82",21,2006,9792,4350,4400,515,2465,635,20267
"83",21,2007,9453,3797,4233,510,3068,573,19837
"84",21,2008,8578,2855,3838,694,3744,614,18308
"85",21,2009,7743,2240,3777,946,4522,599,17693
"86",22,2005,7138,6684,5490,258,2107,265,19443
"87",22,2006,6321,6170,4754,267,1799,280,17522
"88",22,2007,6580,6508,5407,408,2365,360,19016
"89",22,2008,7634,5662,5712,640,2567,330,19575
"90",22,2009,8668,5349,6305,1522,2976,412,21777
"91",23,2005,7859,788,1493,1342,2259,75,12762
"92",23,2006,7691,953,1363,1366,2774,81,13470
"93",23,2007,8280,1067,1484,1306,3600,122,14990
"94",23,2008,7564,837,1415,1348,4278,88,14797
"95",23,2009,7025,570,1276,1437,4184,97,14000
"96",24,2005,25116,10387,10443,21981,2919,277,62129
"97",24,2006,24578,10090,10223,17565,3354,388,57199
"98",24,2007,24048,9862,10551,17074,4022,484,56874
"99",24,2008,22262,8396,11021,17738,4557,497,54779
"100",24,2009,20224,6918,11452,17140,5609,465,51790
"101",25,2005,33263,7589,5240,37981,5896,715,86516
"102",25,2006,32655,8011,5276,36107,6084,810,84751
"103",25,2007,32433,7574,5355,37317,6736,840,86118
"104",25,2008,27342,5240,3819,35716,6465,764,76308
"105",25,2009,27077,4178,3220,38191,7265,994,78075
"106",26,2005,25171,9949,10034,7520,3171,140,47312
"107",26,2006,28832,11821,11200,9348,4212,178,55749
"108",26,2007,28702,11250,11244,9379,4897,244,55759
"109",26,2008,27866,8429,11066,10567,5721,276,54516
"110",26,2009,26845,6427,11158,11258,6716,368,53546
"111",27,2005,21464,4785,7774,1411,1400,176,37310
"112",27,2006,24159,4964,8171,1673,1720,183,39303
"113",27,2007,26134,4594,8203,1808,2371,206,41302
"114",27,2008,27786,3767,8445,1970,2914,206,41384
"115",27,2009,28813,2623,9703,2305,3783,243,42264
"116",28,2005,2968,1967,1503,50,532,92,6953
"117",28,2006,2461,1796,1268,44,506,76,6137
"118",28,2007,2282,1565,1332,63,509,98,5739
"119",28,2008,1130,804,815,24,246,41,2885
"120",29,2005,13600,8118,11882,2003,1123,247,31759
"121",29,2006,15204,8270,12572,1999,1219,278,32792
"122",29,2007,15986,6808,11211,2198,1288,325,36029
"123",29,2008,19276,6226,12712,3017,1977,404,36520
"124",29,2009,20888,4899,13466,3859,2790,481,39028
"125",30,2005,4455,121,1548,64,388,14,6621
"126",30,2006,4522,143,1472,80,480,16,6447
"127",30,2007,5915,166,1698,106,695,19,7984
"128",30,2008,4646,95,1394,109,580,15,6081
"129",30,2009,4586,78,1306,98,768,33,6063
"130",31,2005,9803,602,814,0,153,7,12394
"131",31,2006,9987,564,805,0,150,19,12258
"132",31,2007,11417,678,953,11,172,11,13878
"133",31,2008,11428,471,767,45,192,28,13268
"134",31,2009,11440,293,709,33,183,21,12957
"135",32,2005,3311,703,1634,578,268,15,8416
"136",32,2006,3575,863,1399,606,262,22,8628
"137",32,2007,3665,883,1502,574,324,17,8378
"138",32,2008,3930,814,1493,673,396,20,7915
"139",32,2009,4118,790,1531,887,535,31,8420
"140",33,2005,2729,619,784,650,191,36,4366
"141",33,2006,3133,860,841,717,251,21,5182
"142",33,2007,2765,740,688,659,346,25,4963
"143",33,2008,3106,656,817,792,605,28,5407
"144",33,2009,2998,463,831,953,836,44,5519
"145",34,2005,14980,6099,7080,23586,2090,281,48535
"146",34,2006,16938,6448,7559,21605,2544,351,48669
"147",34,2007,18752,6899,8219,22423,3307,419,52728
"148",34,2008,21422,6168,9739,23374,4023,525,56565
"149",34,2009,22595,5228,11025,24568,5192,608,59435
"150",35,2005,3996,529,545,773,173,13,8523
"151",35,2006,6050,742,772,739,211,16,11691
"152",35,2007,5992,762,761,722,249,13,11197
"153",35,2008,5843,877,816,737,269,14,10689
"154",35,2009,4403,491,631,587,401,7,9429
"155",36,2005,145195,52435,42071,61824,6269,1308,272165
"156",36,2006,138828,53482,43508,59158,7003,1784,264759
"157",36,2007,141198,50198,44505,57412,9867,2372,264102
"158",36,2008,143169,44471,48988,60766,11611,2632,265602
"159",36,2009,141675,37948,51470,61967,14287,3176,262167
"160",37,2005,10174,6268,2664,1280,1604,175,20694
"161",37,2006,7045,5011,1558,1226,1541,124,15861
"162",37,2007,9943,6611,2581,1185,2005,211,20998
"163",37,2008,15425,7430,8726,1383,3103,352,30442
"164",37,2009,19916,8129,11829,1811,5102,627,43163
"165",38,2005,1291,24,498,5,36,9,1805
"166",38,2006,1468,49,642,0,86,5,1993
"167",38,2007,1432,34,613,4,70,6,1812
"168",38,2008,1498,35,653,9,103,4,1866
"169",38,2009,1447,22,680,6,118,5,1758
"170",39,2005,29681,12532,16043,6573,2731,229,58648
"171",39,2006,29834,12831,16140,6823,2984,243,59324
"172",39,2007,40626,14477,21610,8844,4427,403,80012
"173",39,2008,43136,12470,22599,10685,5419,394,85008
"174",39,2009,44809,10915,26275,13713,7587,561,89390
"175",40,2005,6160,2091,2875,95,734,114,13805
"176",40,2006,5676,1837,2900,84,823,151,12741
"177",40,2007,6267,1727,3226,118,1102,154,13234
"178",40,2008,6871,1525,3557,199,1385,204,13415
"179",40,2009,6693,1126,3673,246,1492,159,13255
"180",41,2005,24976,1084,7005,3226,947,0,40614
"181",41,2006,26586,1187,7319,3479,1136,0,42044
"182",41,2007,29080,1289,7660,3804,1626,0,45204
"183",41,2008,30527,1205,8514,3846,2083,0,45754
"184",41,2009,29357,945,8845,4266,2414,0,44439
"185",42,2005,29757,14379,11458,15840,3902,532,66348
"186",42,2006,28257,13495,11578,14071,4377,632,62756
"187",42,2007,28178,12087,11180,12233,5110,582,60167
"188",42,2008,30229,10986,12411,15536,6299,746,65993
"189",42,2009,25495,7166,10948,12256,5722,635,52998
"190",44,2005,4431,1622,1716,3475,931,75,10627
"191",44,2006,4583,1557,1587,2915,1089,74,10321
"192",44,2007,4537,1565,1663,2327,1094,73,9710
"193",44,2008,4408,1426,1735,2505,1166,68,9695
"194",44,2009,4001,1236,1988,2346,1024,67,8901
"195",45,2005,14160,4678,5189,434,1147,97,21894
"196",45,2006,13557,4532,5474,237,1091,100,20486
"197",45,2007,13802,4206,5855,204,1206,140,20472
"198",45,2008,14616,3609,6137,231,1528,162,21046
"199",45,2009,15808,2637,6394,256,1694,173,21479
"200",46,2005,9257,204,1858,23,137,0,11589
"201",46,2006,12024,191,1942,24,155,5,13861
"202",46,2007,12288,177,1920,25,164,5,13847
"203",46,2008,11676,190,2122,19,202,7,12946
"204",46,2009,11787,113,2044,29,253,9,12965
"205",47,2005,4869,2744,1403,0,1578,0,10317
"206",47,2006,4769,2654,1306,0,1529,0,9881
"207",47,2007,3799,2236,1417,0,1741,2,8876
"208",47,2008,3192,1796,1750,0,2022,0,8152
"209",47,2009,3476,1503,1803,104,2334,95,8428
"210",48,2005,9904,10195,10119,3984,2051,68,32905
"211",48,2006,10012,10633,10380,3912,2444,72,33464
"212",48,2007,10628,10739,10298,4041,2857,115,34274
"213",48,2008,11974,9887,11079,4529,3332,98,34692
"214",48,2009,12640,7910,11596,5194,3694,135,34619
"215",49,2005,3976,909,1775,1254,541,64,10490
"216",49,2006,4334,1005,1927,1420,664,40,11634
"217",49,2007,4848,1213,1950,1713,748,58,12292
"218",49,2008,5165,1252,2252,1889,864,42,12265
"219",49,2009,6088,930,2354,1891,886,65,12434
"220",50,2005,4384,606,1220,786,1015,24,6951
"221",50,2006,4137,694,1221,546,1364,34,6873
"222",50,2007,4050,649,1114,455,1424,41,6784
"223",50,2008,4139,564,1232,518,1720,40,7112
"224",50,2009,3452,363,1215,408,1413,49,5794
"225",51,2005,12552,6707,6198,2646,1627,199,30448
"226",51,2006,11502,5820,6186,2206,1460,189,28768
"227",51,2007,11517,5158,5745,2082,1511,153,25743
"228",51,2008,12629,4773,6188,2442,1859,199,27563
"229",51,2009,12318,3442,6297,2424,2232,209,23726
"230",53,2005,14480,2519,7151,3014,1454,57,28417
"231",53,2006,15274,3017,7592,2761,1267,70,29673
"232",53,2007,15961,2995,7835,2528,1498,76,30192
"233",53,2008,17024,2773,8336,3070,2504,61,31319
"234",53,2009,17642,2069,8788,3116,2924,62,31022
"235",54,2005,5006,844,1398,396,1600,196,8491
"236",54,2006,7962,1485,1840,426,2290,218,13012
"237",54,2007,7371,1067,1934,299,2791,222,12244
"238",54,2008,7438,775,1952,400,3678,247,13047
"239",54,2009,4456,314,1092,299,2556,193,8081
"240",55,2005,17488,2899,2323,932,762,49,23236
"241",55,2006,21530,3785,3373,909,982,49,28186
"242",55,2007,20950,3109,2746,917,1206,55,27073
"243",55,2008,21550,2192,2615,983,1199,74,26489
"244",55,2009,20986,2000,2722,1305,1508,88,26407
"245",56,2005,3176,94,1010,22,105,4,4868
"246",56,2006,2648,90,811,16,75,3,3744
"247",56,2007,2999,88,839,24,116,9,3971
"248",56,2008,3657,99,959,45,173,9,4640
"249",56,2009,3749,61,983,54,258,13,4848
"250",72,2005,641,156,223,1309,0,0,2141
"251",72,2006,168,107,226,1429,0,0,1761
"252",72,2007,1201,246,473,1650,0,3,3268
"253",72,2008,1167,239,404,1319,0,7,2900
"254",72,2009,1181,153,255,776,0,6,2218
